"addr";"price";"name";"geo_lat";"geo_lon"
"Казань; Авиастроительный район; ул. Чапаева; 17/9";3900000.0;avito;55.8645513;49.0819704
"Казань; Авиастроительный район; ул. Чапаева; 17/9";3649000.0;avito;55.8645513;49.0819704
"Казань; Авиастроительный район; ул. Чапаева; 19/10";5099000.0;avito;55.8653344;49.0824196
"Казань; Авиастроительный район; ул. Чапаева; 20/19";6400000.0;avito;55.8662162;49.0838668
"Казань; Авиастроительный район; ул. Чапаева; 21";9900000.0;avito;55.8663772;49.0827715
"Казань; Авиастроительный район; ул. Чапаева; 21";7500000.0;avito;55.8663772;49.0827715
"Казань; Авиастроительный район; ул. Чапаева; 24";6500000.0;avito;55.8672872;49.0848393
"Казань; Авиастроительный район; ул. Чапаева; 24";6500000.0;avito;55.8672872;49.0848393
"Казань; Авиастроительный район; ул. Чапаева; 25";8500000.0;avito;55.8669059;49.0832499
"Казань; Авиастроительный район; ул. Чапаева; 26";5570000.0;avito;55.867989;49.0845708
"Казань; Авиастроительный район; ул. Чапаева; 28";4680000.0;avito;55.8680171;49.0853495
"Казань; Авиастроительный район; ул. Чапаева; 28";5800000.0;avito;55.8680171;49.0853495
"Казань; Авиастроительный район; ул. Чапаева; 33";6699000.0;avito;55.8674633;49.0835547
"Казань; Авиастроительный район; ул. Чапаева; 33";5900000.0;avito;55.8674633;49.0835547
"Казань; Авиастроительный район; ул. Чапаева; 43";3300000.0;avito;55.8681044;49.0838514
"Казань; Авиастроительный район; ул. Чапаева; 44";4590000.0;avito;55.870114;49.0849739
"Казань; Авиастроительный район; ул. Чапаева; 44";4590000.0;avito;55.870114;49.0849739
"Казань; Авиастроительный район; ул. Чапаева; 47";3300000.0;avito;55.8689968;49.0844593
"Казань; Авиастроительный район; ул. Чапаева; 55";3950000.0;avito;55.8716234;49.0838851
"Казань; Авиастроительный район; ул. Чапаева; 8";3800000.0;avito;55.861975;49.0813716
"Казань; Агрономическая ул.; 18";7000000.0;avito;55.7746295;49.1471418
"Казань; Агрономическая ул.; 20";9899000.0;avito;55.7742281;49.1480208
"Казань; Агрономическая ул.; 4";5790000.0;avito;55.7756019;49.1447427
"Казань; Агрономическая ул.; 76";5800000.0;avito;55.7700379;49.1535939
"Казань; Агрономическая ул.; 80";6290000.0;avito;55.768814;49.155011
"Казань; Адмиралтейская ул.; 13";1780000.0;avito;55.800497;49.0538915
"Казань; Адмиралтейская ул.; 15/21";4300000.0;avito;55.7999479;49.0531398
"Казань; Адмиралтейская ул.; 15/21";4500000.0;avito;55.7999479;49.0531398
"Казань; Адмиралтейская ул.; 15/21";3470000.0;avito;55.7999479;49.0531398
"Казань; Адмиралтейская ул.; 17";2400000.0;avito;55.799177;49.0531448
"Казань; Адмиралтейская ул.; 17";2500000.0;avito;55.799177;49.0531448
"Казань; Адмиралтейская ул.; 17";3150000.0;avito;55.799177;49.0531448
"Казань; Адмиралтейская ул.; 17";3270000.0;avito;55.799177;49.0531448
"Казань; Адмиралтейская ул.; 17";2600000.0;avito;55.799177;49.0531448
"Казань; Адмиралтейская ул.; 17";4550000.0;avito;55.799177;49.0531448
